City,FAA,IATA,ICAO,Airport
"Birmingham, ALABAMA",BHM,BHM,KBHM,Birmingham-Shuttlesworth International Airport
"Dothan, ALABAMA",DHN,DHN,KDHN,Dothan Regional Airport
"Huntsville, ALABAMA",HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field)
"Mobile, ALABAMA",MOB,MOB,KMOB,Mobile Regional Airport
"Montgomery, ALABAMA",MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field)
ARIZONA,,,,
"Bullhead City, ARIZONA",IFP,IFP,KIFP,Laughlin/Bullhead International Airport
"Flagstaff, ARIZONA",FLG,FLG,KFLG,Flagstaff Pulliam Airport
"Grand Canyon / Tusayan, ARIZONA",GCN,GCN,KGCN,Grand Canyon National Park Airport
"Mesa, ARIZONA",IWA,AZA,KIWA,Phoenix-Mesa Gateway Airport
"Page, ARIZONA",PGA,PGA,KPGA,Page Municipal Airport
"Peach Springs, ARIZONA",1G4,GCW,,Grand Canyon West Airport
"Phoenix, ARIZONA",PHX,PHX,KPHX,Phoenix Sky Harbor International Airport
"Tucson, ARIZONA",TUS,TUS,KTUS,Tucson International Airport
"Yuma, ARIZONA",NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma
"Fayetteville, ARKANSAS",XNA,XNA,KXNA,Northwest Arkansas Regional Airport
"Fort Smith, ARKANSAS",FSM,FSM,KFSM,Fort Smith Regional Airport
"Little Rock, ARKANSAS",LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National)
"Texarkana, ARKANSAS",TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field)
"Arcata / Eureka, CALIFORNIA",ACV,ACV,KACV,Arcata Airport
"Bakersfield, CALIFORNIA",BFL,BFL,KBFL,Meadows Field
"Burbank, CALIFORNIA",BUR,BUR,KBUR,Bob Hope Airport
"Carlsbad, CALIFORNIA",CRQ,CLD,KCRQ,McClellan-Palomar Airport
"Chico, CALIFORNIA",CIC,CIC,KCIC,Chico Municipal Airport
"Crescent City, CALIFORNIA",CEC,CEC,KCEC,Del Norte County Airport (Jack McNamara Field)
"Fresno, CALIFORNIA",FAT,FAT,KFAT,Fresno Yosemite International Airport
"Inyokern, CALIFORNIA",IYK,IYK,KIYK,Inyokern Airport
"Long Beach, CALIFORNIA",LGB,LGB,KLGB,Long Beach Airport (Daugherty Field)
"Los Angeles, CALIFORNIA",LAX,LAX,KLAX,Los Angeles International Airport
"Mammoth Lake, CALIFORNIAs",MMH,MMH,KMMH,Mammoth Yosemite Airport
"Modesto, CALIFORNIA",MOD,MOD,KMOD,Modesto City-County Airport (Harry Sham Field)
"Monterey, CALIFORNIA",MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport)
"Oakland, CALIFORNIA",OAK,OAK,KOAK,Oakland International Airport
"Ontario, CALIFORNIA",ONT,ONT,KONT,Ontario International Airport
"Palm Springs, CALIFORNIA",PSP,PSP,KPSP,Palm Springs International Airport
"Redding, CALIFORNIA",RDD,RDD,KRDD,Redding Municipal Airport
"Sacramento, CALIFORNIA",SMF,SMF,KSMF,Sacramento International Airport
"San Diego, CALIFORNIA",SAN,SAN,KSAN,San Diego International Airport
"San Francisco, CALIFORNIA",SFO,SFO,KSFO,San Francisco International Airport
"San Jose, CALIFORNIA",SJC,SJC,KSJC,Norman Y. Mineta San Jos‚ International Airport
"San Luis Obispo, CALIFORNIA",SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field)
"Santa Ana, CALIFORNIA",SNA,SNA,KSNA,John Wayne Airport ? Orange County (was Orange County Airport)
"Santa Barbara, CALIFORNIA",SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport)
"Santa Maria, CALIFORNIA",SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field)
"Santa Rosa, CALIFORNIA",STS,STS,KSTS,Charles M. Schulz - Sonoma County Airport
"Stockton, CALIFORNIA",SCK,SCK,KSCK,Stockton Metropolitan Airport
"Aspen, COLORADO",ASE,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field)
"Colorado Springs, COLORADO",COS,COS,KCOS,City of Colorado Springs Municipal Airport
"Denver, COLORADO",DEN,DEN,KDEN,Denver International Airport
"Durango, COLORADO",DRO,DRO,KDRO,Durango-La Plata County Airport
"Eagle, COLORADO",EGE,EGE,KEGE,Eagle County Regional Airport
"Fort Collins / Loveland, COLORADO",FNL,FNL,KFNL,Fort Collins-Loveland Municipal Airport (scheduled service ended in 2012)
"Grand Junction, COLORADO",GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field)
"Gunnison, COLORADO",GUC,GUC,KGUC,Gunnison-Crested Butte Regional Airport
"Hayden, COLORADO",HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional)
"Montrose, COLORADO",MTJ,MTJ,KMTJ,Montrose Regional Airport
"Pueblo, COLORADO",PUB,PUB,KPUB,Pueblo Memorial Airport
"New Haven, CONNECTICUT",HVN,HVN,KHVN,Tweed New Haven Regional Airport (was Tweed-New Haven Airport)
"Windsor Locks, CONNECTICUT",BDL,BDL,KBDL,Bradley International Airport
"Daytona Beach, FLORIDA",DAB,DAB,KDAB,Daytona Beach International Airport
"Fort Lauderdale, FLORIDA",FLL,FLL,KFLL,Fort Lauderdale?Hollywood International Airport
"Fort Myers, FLORIDA",RSW,RSW,KRSW,Southwest Florida International Airport
"Gainesville, FLORIDA",GNV,GNV,KGNV,Gainesville Regional Airport
"Jacksonville, FLORIDA",JAX,JAX,KJAX,Jacksonville International Airport
"Key West, FLORIDA",EYW,EYW,KEYW,Key West International Airport
"Melbourne, FLORIDA",MLB,MLB,KMLB,Melbourne International Airport
"Miami, FLORIDA",MIA,MIA,KMIA,Miami International Airport
"Orlando, FLORIDA",MCO,MCO,KMCO,Orlando International Airport
"Orlando, FLORIDA",SFB,SFB,KSFB,Orlando Sanford International Airport
"Panama City Beach, FLORIDA",ECP,ECP,KECP,Northwest Florida Beaches International Airport [nb 6]
"Pensacola, FLORIDA",PNS,PNS,KPNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport)
"Punta Gorda, FLORIDA",PGD,PGD,KPGD,Punta Gorda Airport (was Charlotte County Airport)
"Sarasota / Bradenton, FLORIDA",SRQ,SRQ,KSRQ,Sarasota?Bradenton International Airport
"St. Petersburg, FLORIDA",PIE,PIE,KPIE,St. Petersburg?Clearwater International Airport
"Tallahassee, FLORIDA",TLH,TLH,KTLH,Tallahassee Regional Airport
"Tampa, FLORIDA",TPA,TPA,KTPA,Tampa International Airport
"Valparaiso, FLORIDA",VPS,VPS,KVPS,Northwest Florida Regional Airport / Eglin Air Force Base
"West Palm Beach, FLORIDA",PBI,PBI,KPBI,Palm Beach International Airport
"Albany, GEORGIA",ABY,ABY,KABY,Southwest Georgia Regional Airport
